iter	RMSE
0	8.890250965
1	8.192237383
2	7.620875181
3	7.171374352
4	6.802786188
5	6.523143006
6	6.265155386
7	6.052527953
8	5.873726471
9	5.723771583
10	5.615278283
11	5.470490301
12	5.362846748
13	5.26006174
14	5.196499262
15	5.130913947
16	5.064293455
17	4.983026511
18	4.926184461
19	4.886996247
20	4.845913605
21	4.807449834
22	4.751134869
23	4.705234217
24	4.655431457
25	4.624450887
26	4.582990431
27	4.557985456
28	4.515370926
29	4.485486456
30	4.4599498
31	4.432232318
32	4.398319273
33	4.379313353
34	4.341080251
35	4.321871389
36	4.305722675
37	4.273515645
38	4.253865628
39	4.234174834
40	4.214176811
41	4.199814192
42	4.182818635
43	4.155344656
44	4.133011227
45	4.122178318
46	4.109626808
47	4.092542418
48	4.066804052
49	4.046275041
50	4.015175832
51	3.983090361
52	3.958063514
53	3.938525174
54	3.914019126
55	3.890500962
56	3.879809777
57	3.862383752
58	3.844147926
59	3.831043876
60	3.815816831
61	3.793644046
62	3.775555098
63	3.765095781
64	3.754738407
65	3.734215447
66	3.718382758
67	3.697730271
68	3.678548917
69	3.66221189
70	3.650416918
71	3.632489069
72	3.616557648
73	3.604624981
74	3.591800508
75	3.577622786
76	3.556219358
77	3.545001737
78	3.531608836
79	3.521210777
80	3.51386748
81	3.509165991
82	3.496127541
83	3.477804317
84	3.460575979
85	3.449144036
86	3.43689066
87	3.428597818
88	3.418660661
89	3.406500517
90	3.395673881
91	3.389422285
92	3.375862004
93	3.369150503
94	3.358467301
95	3.35042604
96	3.337296544
97	3.324564482
98	3.318529395
99	3.306982195
100	3.297954591
101	3.289814623
102	3.280980233
103	3.279091378
104	3.267795257
105	3.255329623
106	3.249238792
107	3.241833539
108	3.229660523
109	3.218724265
110	3.20556578
111	3.196155595
112	3.182661479
113	3.171744794
114	3.163303855
115	3.154326208
116	3.149209911
117	3.143161438
118	3.135821653
119	3.127803806
120	3.119419962
121	3.116117363
122	3.106736565
123	3.095360495
124	3.085886143
125	3.075941265
126	3.071241163
127	3.062541569
